"about","industry","location","logo","name","size","website link","unique id"
"We are Sanofi, an innovative global healthcare company. We chase the miracles of science to improve people’s lives.

Our team, across some 100 countries, is dedicated to transforming the practice of medicine by working to turn the impossible into the possible. We provide potentially life-changing treatment options and life-saving vaccine protection to millions of people globally, while putting sustainability and social responsibility at the center of our ambitions.","Pharmaceuticals","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Sanofi","10,001+ employees","https://www.sanofi.com/","1661251577475x330142909245685760"
"Africa's Fastest Growing Ride-hailing Service.
Trips Fair, Affordable, Seemless, And Convenient.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","FareRun","11-50 employees","https://farerun.com/","1661252008081x351133438430150660"
" Beryl's Consult is a professional consulting firm that expertise to provide employers with the right talent for their organizations making use of packages and benefits offered by the clients in identifying the requirements and need for the role. We extends our services to consultation, staff training, interview coaching for employers. 
We are experts in your field and know exactly where to turn to identify top talent for your organization.","Human Resources","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Beryl's consult ","11-50 employees","Www.beryl.com.ng ","1661765005315x411266019389603800"
"Befti is a corporate support solutions provider with a comprehensive range of people outsourcing services, Business Development and Empowerment. We have a diversified team of management, strategy, innovative and capacity development experts working together to provide organizations and individuals with the best human resource management solutions.","Human Resources","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1661769187859x456443948125127040/Screenshot_20220829-112549_2-removebg-preview.png","Befti Nigeria ","11-50 employees","www.befti.com.ng","1661768002142x647039608580472800"
"Marvitech solutions is a corporate support  provider with a comprehensive range of people outsourcing services and Business Development. We have a diversified team of management, strategy, innovative and capacity development experts working together to provide organizations and individuals with the best human resource management solutions. With a team that diverse, we are setting new standards of performance and raising the bar in excellent service delivery to the growth of Nigeria and even to humanity.","Outsourcing/Offshoring","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Marvitech solutions","1-10 employees","jobs@marvitech.com.ng","1661772985682x378390805873688600"
"","","","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Brave achievers","","","1661799476821x386021382661865500"
"Bamboo is an investment platform that gives Africans the tools to build wealth from the ground up through real-time access to the global markets.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Bamboo","11-50 employees","http://investbamboo.com/","1661872377098x719284786445418500"
"Bryme Consulting is a recruiting and consulting firm whose aim is to gather young graduates to train and mentor for a brighter future.","Outsourcing/Offshoring","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1661948726602x376179577380649100/Screenshot_20220406-131004.png","Bryme Consulting","11-50 employees","career@brymeconsulting.com.ng","1661948009902x673730257950867500"
"Elyte Recruiter is professional at giving recruiting and consulting services which offers individuals and businesses an opportunity to successfully integrate specialized talent into the workplaces.  We also partner with 
businesses to source talents and skills,  manage the implementation into a company, and assist with staff management.
","Staffing & Recruiting","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1662158905160x638831372527532300/20220622_144802_0000.png","Elyte Recruiter","11-50 employees","www.elyterecruiter.com","1661948595303x274597911142334460"
"Our talented team provides full-service client experience from start to finish utilizing the most innovative methodologies, cutting edge engineering all while operating with authenticity and transparency. We have created a global network of technology professionals to address the needs of our clients.","Information Technology Services","Abuja, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","LumiQualis","11-50 employees","lumiqualis.com/","1662138582233x349341600458997760"
"","Banking","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Unity Bank Plc","1001-5000 employees","unitybankng.com","1662354868874x757291728440393700"
"Printing Company","Printing","Katsina, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Tundra Tech Temp","1-10 employees","","1662436185170x864978566447890400"
"Umba is an African digital bank, offering free bank accounts and financial services to our customers.
We provide an ecosystem of connected financial services that allows the customer complete control of their finances all in one App.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Umba","51-200 employees","http://www.umba.com/","1662491843652x129444933054234620"
"Edukoya is an education technology company that connects African learners with the digital curriculum content and on-demand teachers for real-time online education.","E-Learning","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Edukoya","11-50 employees","http://www.edukoya.com","1662738592600x866228716771999700"
"Ai Data Management Limited is a subsidiary of Phyna Information Technology that caters to enterprises on the African continent, helping business owners harness AI (artificial intelligence) to increase efficiency, build brand loyalty and drive business growth. 

AI Data Management expands Phyna’s presence from the Middle East to a rapidly growing African market. With AI expected to add more than $15 trillion to the global economy by 2030, AIDML is eager to make African businesses a part of this global movement currently dominated by market leaders in tech-led economies like the UK and US.

We design interactive Artificial Intelligence (AI) systems that integrate sophisticated but intuitive machine learning techniques for personalized user experience anywhere.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","AI Data Management Limited","11-50 employees","http://www.aidml.com/","1663008130969x437320001532198900"
"RusselSmith is a leading integrated energy services provider with a focus on asset integrity management, operations and production, technology solutions and engineering.
Our services ensure that our customers have access to reliable data about the states of their assets, and that their assets continue to perform reliably and safely all through their initial design lives, and even for extended periods after their design lives.","Oil & Energy","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","RusselSmith Group","51-200 employees","http://russelsmithgroup.com/","1663078718162x645624305756143600"
"Lampnet Solutions is a customer-centric cutting-edge technology service provider of World-Class Solutions for high business growth and transformation with experience in Mobile Application development, Security and Cloud based technologies. LampNet Solutions is an agile software development and consulting company. We bring our expertise and competences to bear in the implementation and customization of integrated Cloud Solutions, ERP, CRM and other business software optimized to exceed customers’ expectations. We offer a suite of secure & compliant solutions that meets and exceeds requirements for small to medium-sized businesses, also offering transparent solutions. Our activities are geared around three business support pillars namely: Digital Transformation, Operational Excellence and Protection Assurance.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1663337334248x738527095710893200/logo.jpg","LAMPNET SOLUTIONS","11-50 employees","www.lampnets.com","1663337166167x755787679371100200"
"sn sd","Agriculture/Farming","Oyo, Nigeria","//s3.amazonaws.com/appforest_uf/f1663930143362x800184345741914500/ben-white-83tkHLPgg2Q-unsplash.jpg","a,","11-50 employees","","1663930080248x577194850077114400"
"Kuda is a fintech company on a mission to make financial services accessible, affordable and rewarding for every African on the planet.

We're a full service digital only bank with a banking license. Kuda is designed for your smartphone, free of ridiculous charges and great at helping you budget, spend smartly and save more.

We’re a tribe of passionate and diverse people who dreamed of building an inclusive money app that Africans would love so it’s only right that we ended up with the name ‘Kuda’ which means ‘love’ in Shona, a language spoken in the southern part of Africa.

We’re giving Africans around the world a better alternative to traditional finance by delivering free money transfers, smart budgeting and instant access to credit through digital devices.

We’ve raised over $90 million from some of the world's most respected institutional investors, and we’re rolling out our game-changing services globally from our offices in Nigeria, South Africa, and the UK.","Banking","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Kuda","51-200 employees","https://www.kuda.com/","1664882912100x417637982761123840"
"Aella is a true lending ecosystem powered by Web 3.0, building the future of financing for the underbanked via artificial intelligence. The overarching goal of Aella is to build products which foster financial inclusion in emerging markets through innovation.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Aella App","11-50 employees","https://aellaapp.com/","1664884451332x762805506700738600"
"sdfgs","Airline/Aviation","Oyo, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","asdf","51-200 employees","sdfg","1664888508506x210504473778585600"
"Clive Alliance is a technology solutions company that aims to build solutions to Africa's problems. Technology is the greatest enabler and we are good at Tech.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Clive Alliance","1-10 employees","https://clivealliance.com/","1665138903302x237819191020486660"
"","","","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Drex","","","1665157239168x766056687028928500"
"","Education Management","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Gradely Nigeria ","11-50 employees","gradely.ng","1667297899562x866551640544510000"
"CredPal card is designed to help you meet your most important obligations when you need to. Buy now pay later. Pay in 30days or spread payment over 6 installments.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","CredPal","11-50 employees","https://credpal.com/","1668164815797x744002351678095400"
"","","","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Teller","","","1668810364592x824394777894584300"
"Klasha is a technology company that builds cross-border commerce solutions for African consumers and international businesses wanting to sell into Africa. Our mission is to make consumer goods and services online more accessible to customers across the continent. We've built the KlashaCheckout which allows African consumers to transact online across borders in local African currencies, alongside an entire toolkit of software products including; KlashaWire, KlashaCargo, Payment Links and the Klasha App.

Our vision is for African consumers to have frictionless access to the goods they want, regardless of their geographic location, by transacting using African currencies and money methods.

Klasha is currently live in Nigeria, Tanzania, Uganda, South Africa, Kenya and Zambia. Klasha is backed by leading venture investors including: Greycroft (investors in Braintree and Venmo), Seedcamp (investors in Revolut), Techstars (investors in Remitly) and Plug and Play (investors in Paypal, Honey and Dropbox).","Financial Technology","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Klasha","51-200 employees","http://www.klasha.com/","1668874696006x602312662312812500"
"Music and Entertainment Blog","Entertainment","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Newbanger Digital","1-10 employees","newbanger.com","1670618471383x133319301261950980"
"Its a fintech company that allows its clients to save, invest and request for emergency loan","Financial Technology","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","FajoMonie","1-10 employees","www.fajomonie.com","1670781055932x483685177933430800"
"zsxcdxzcx","Civic Engineering","Osun, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","sdf","11-50 employees","","1671041567420x219827734177906700"
"eHealth4everyone is a leading digital health social enterprise dedicated to making the world healthier.
We are a new kind of mission-driven organization with services, expertise and products focused on making the business of healthcare delivery work for everyone, through technology-enabled optimizations. We believe that if health is a right, proven digital health solutions and expertise such as ours should not be a privilege.

Working with participants across the spectrum of healthcare, from individuals, healthcare providers, government departments and stakeholders, insurance organizations, pharmaceutical companies, and various private sector players, we enable high performance across the continuum of healthcare delivery and management.

Our clients and customers, international and local, work with us because of our natively inventive approach to solving problems, our tenacity and perseverance to get things done, and our innovative solutions. Our solutions help our customers optimize their theory of change and improve their health outcomes/targets, at a significantly low cost.","Hospital & Healthcare","Abuja, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","eHealth4everyone","51-200 employees","http://ehealth4everyone.com/","1673413703614x140244754667667460"
"","","","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Bondy ","","","1675865962355x637264265005236200"
"CloudWare Technologies designs, develop, web mobile applications to power your businesses. We help deploy, integrate technology solutions to solve business, public and social problems. CloudWare Technologies designs, manage and secure IT systems across all sectors. We are a consortium of technology experts, we execute projects with expertise -clearly understanding the challenges of our clients, providing them with valuable advice and implementing solutions professionally with maximum support. We don’t just provide IT solutions, we use them to solve business problems.

CloudWare Technologies is  a global technology powerhouse. We began our operations a few decades ago and have grown due to excellent relationships with our clients.

We have grown so much over the years and been able to help businesses find the right IT solutions to power their businesses, provide solutions to surmount their challenges while also keeping their businesses running smoothly .

We create and deploy technological solutions that meet up, and combats the challenges that comes with running a business and living in a fast-paced and evolving world.","Information Technology Services","Oyo, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","cloudware technologies","11-50 employees","https://cloudware.ng/","1676001265155x435318458050150400"
"Binkky","Computer & Network Security","Osun, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","BINK FM","11-50 employees","test","1700438480164x174474322398150660"
"i","Automotive","Kaduna, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","i","11-50 employees","i","1701720944285x526746491924512800"
"lovely company","Computer & Network Security","Osun, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Sabicorp","1-10 employees","","1701791242502x152016222410768400"
"","","","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Bincom Global","","","1702641414025x265571315915161600"
"","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","FT9ja","1-10 employees","www.ft9ja.com","1706603708419x111180697922437120"
